player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0041407,Kyron Hudson,WR,CHI,1.4231427953383156,0.9901334698614144,9.273350172527548,15.0,20.567202576715374,rookie_rule,True,depth,listed,12.0,2026,0.9634639917646051
00-0041467,Lewis Bond,WR,HOU,1.4195535707533726,0.7722918903127165,9.269760947942606,15.0,19.928349040531387,rookie_rule,True,depth,listed,6.0,2026,0.9358974751456635
00-0033857,JuJu Smith-Schuster,WR,NYG,1.4194942316098338,0.36673592233925,9.269701608799068,14.8,19.63612802927673,v2_team_first,False,depth,listed,6.0,2026,0.9346747438902177
00-0041435,Dean Patterson,WR,TB,1.4183905034696802,0.8082892840124541,9.268597880658914,15.0,20.588017790007182,rookie_rule,True,depth,listed,11.0,2026,0.9676704095073291
00-0032392,Austin Hooper,TE,ATL,1.4163010446570017,0.2108653037727429,6.889810557751958,14.75,19.55626584878344,v2_team_first,False,depth,listed,3.0,2026,0.9361346848699135
00-0041020,Xavier Loyd,WR,KC,1.413379808034661,0.8965490109978936,9.263587185223894,15.0,19.86663220853772,rookie_rule,True,depth,listed,12.0,2026,0.9370744789947983
00-0040900,Anthony Smith,WR,DAL,1.4120716814320793,0.7037375905317325,9.262279058621314,15.0,19.775519066569036,rookie_rule,True,depth,listed,7.0,2026,0.9336409440873575
00-0041176,Jaden Bradley,WR,WAS,1.4042524354810615,0.936363417596537,9.254459812670294,15.0,19.75904573564831,rookie_rule,True,depth,listed,10.0,2026,0.9380576329629965
00-0032464,Kalif Raymond,WR,CHI,1.400467309374044,0.2334602721185515,9.250674686563276,14.65,19.767374889339635,v2_team_first,False,depth,listed,3.0,2026,0.9634704481389275
00-0041558,Sam Roush,TE,CHI,1.3988042749273015,0.600803342288531,6.872313788022258,12.0,16.172542444696102,rookie_rule,True,,,,2026,0.9634742290599483
00-0041361,Will Pauling,WR,SF,1.396525609494185,0.9711260999142948,9.246732986683416,15.0,19.629886334602727,rookie_rule,True,depth,listed,9.0,2026,0.937082055693562
00-0036429,Charlie Woerner,TE,ATL,1.3934101229908582,0.2083587968517723,6.866919636085815,11.9,15.52254025664302,v2_team_first,True,backup,listed,2.0,2026,0.9361315280365725
00-0036165,Isaiah Hodgins,WR,NYG,1.3885766185883623,0.3612725672908993,9.238783995777595,10.3,13.368531529443782,v2_team_first,True,depth,listed,7.0,2026,0.9347094464184059
00-0041272,Ja'Mori Maclin,WR,BUF,1.3803823121584764,0.8773726179274495,9.23058968934771,15.0,19.6940560077124,rookie_rule,True,depth,listed,11.0,2026,0.9511401700937571
00-0041359,Wesley Grimes,WR,SF,1.3796827478740046,0.9158605150872048,9.22989012506324,15.0,19.393138427854534,rookie_rule,True,depth,listed,8.0,2026,0.9370820191689243
00-0037004,Hunter Long,TE,JAX,1.3663070531424597,0.2536944231249181,6.839816566237416,11.3,14.477636238673632,v2_team_first,True,depth,listed,5.0,2026,0.9377150940109292
00-0036849,Tutu Atwell,WR,MIA,1.3634868102790327,0.3677406738387918,9.213694187468269,12.85,16.437241897987036,v2_team_first,True,depth,listed,4.0,2026,0.9381556051546197
00-0039236,Johnny Wilson,WR,PHI,1.3616276474418676,0.3029506840150882,9.2118350246311,9.47,12.224268908050837,v2_team_first,True,,,,2026,0.9480135719832365
00-0041187,Le'Meke Brockington,WR,ATL,1.3611286060746306,0.9206315227579736,9.211335983263863,15.0,19.113223043646094,rookie_rule,True,depth,listed,11.0,2026,0.9361458306655712
00-0041294,Joseph Manjack,WR,DEN,1.361042873490217,0.9735620430964133,9.211250250679452,15.0,19.606727359547182,rookie_rule,True,depth,listed,10.0,2026,0.9603776506696071
00-0041293,Dane Key,WR,DEN,1.3565912163237346,0.9456044825704032,9.20679859351297,15.0,19.542611172981626,rookie_rule,True,depth,listed,8.0,2026,0.9603782843265397
00-0040461,Luke Grimm,WR,LAC,1.3522146807389563,0.2502663261756961,9.20242205792819,12.0,15.446960205121234,v2_team_first,True,,,,2026,0.9519543768424776
00-0040894,Malik Benson,WR,LV,1.3431437355549467,0.8955887272303564,9.19335111274418,15.0,18.87420902188891,rookie_rule,True,depth,listed,4.0,2026,0.9368175334856301
00-0041568,Ty Simpson,QB,LA,1.342908,1.342908,10.832736578209298,12.0,16.841925027522336,rookie_rule,True,,,,2026,1.0451153409567355
00-0041562,Fernando Mendoza,QB,LV,1.342908,1.342908,10.832736578209298,12.0,17.348135839927448,rookie_rule,True,,,,2026,1.0765279428379462
00-0040985,Diego Pavia,QB,BAL,1.338907637290863,1.338907637290863,10.82873621550016,15.0,21.59671081858731,rookie_rule,True,,,,2026,1.0753398375950691
00-0040581,Dont'e Thornton Jr.,WR,LV,1.3306244626853654,0.2916391995440136,9.1808318398746,13.5,16.828474319191177,v2_team_first,True,depth,listed,5.0,2026,0.9368185301190994
00-0038359,Xavier Smith,WR,LA,1.3148614383043764,0.2303963131092374,9.16506881549361,15.160000000000002,19.156318874864898,v2_team_first,False,depth,listed,4.0,2026,0.9610209773076267
00-0041446,Kendrick Law,WR,DET,1.308722726347968,0.6031280069643988,9.158930103537202,12.0,15.184026538247842,rookie_rule,True,depth,listed,9.0,2026,0.9668476900259427
00-0040886,Nicholas Singleton,RB,TEN,1.3079405211760944,1.2067698598676988,8.740184727711554,15.0,19.213485454257874,rookie_rule,True,depth,listed,3.0,2026,0.9793251371492638
